ProductKey,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,StandardCost,ListPrice,DealerPrice,Color,SafetyStockLevel,ReorderPoint,Size,SizeRange,Weight,DaysToManufacture,ProductLine,Class,Style,ModelName,EnglishDescription,StartDate,EndDate,Status
210,FR-R92B-58,14,LB ,CM ,"HL Road Frame - Black, 58",868.6342,1431.5,858.9,Black,500,375,58,54-58 CM,2.24,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,NULL,Current
211,FR-R92R-58,14,LB ,CM ,"HL Road Frame - Red, 58",868.6342,1431.5,858.9,Red,500,375,58,54-58 CM,2.24,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,NULL,Current
212,HL-U509-R,31,NULL,NULL,"Sport-100 Helmet, Red",12.0278,33.6442,20.1865,Red,4,3,NULL,NA,NULL,0,S ,NULL,NULL,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",00:00.0,00:00.0,NULL
213,HL-U509-R,31,NULL,NULL,"Sport-100 Helmet, Red",13.8782,33.6442,20.1865,Red,4,3,NULL,NA,NULL,0,S ,NULL,NULL,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",00:00.0,00:00.0,NULL
214,HL-U509-R,31,NULL,NULL,"Sport-100 Helmet, Red",13.0863,34.99,20.994,Red,4,3,NULL,NA,NULL,0,S ,NULL,NULL,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",00:00.0,NULL,Current
215,HL-U509,31,NULL,NULL,"Sport-100 Helmet, Black",12.0278,33.6442,20.1865,Black,4,3,NULL,NA,NULL,0,S ,NULL,NULL,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",00:00.0,00:00.0,NULL
216,HL-U509,31,NULL,NULL,"Sport-100 Helmet, Black",13.8782,33.6442,20.1865,Black,4,3,NULL,NA,NULL,0,S ,NULL,NULL,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",00:00.0,00:00.0,NULL
217,HL-U509,31,NULL,NULL,"Sport-100 Helmet, Black",13.0863,34.99,20.994,Black,4,3,NULL,NA,NULL,0,S ,NULL,NULL,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",00:00.0,NULL,Current
218,SO-B909-M,23,NULL,NULL,"Mountain Bike Socks, M",3.3963,9.5,5.7,White,4,3,M,M,NULL,0,M ,NULL,U ,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,00:00.0,00:00.0,NULL
219,SO-B909-L,23,NULL,NULL,"Mountain Bike Socks, L",3.3963,9.5,5.7,White,4,3,L,L,NULL,0,M ,NULL,U ,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,00:00.0,00:00.0,NULL
220,HL-U509-B,31,NULL,NULL,"Sport-100 Helmet, Blue",12.0278,33.6442,20.1865,Blue,4,3,NULL,NA,NULL,0,S ,NULL,NULL,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",00:00.0,00:00.0,NULL
221,HL-U509-B,31,NULL,NULL,"Sport-100 Helmet, Blue",13.8782,33.6442,20.1865,Blue,4,3,NULL,NA,NULL,0,S ,NULL,NULL,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",00:00.0,00:00.0,NULL
222,HL-U509-B,31,NULL,NULL,"Sport-100 Helmet, Blue",13.0863,34.99,20.994,Blue,4,3,NULL,NA,NULL,0,S ,NULL,NULL,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",00:00.0,NULL,Current
223,CA-1098,19,NULL,NULL,AWC Logo Cap,5.7052,8.6442,5.1865,Multi,4,3,NULL,NA,NULL,0,S ,NULL,U ,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,00:00.0,00:00.0,NULL
224,CA-1098,19,NULL,NULL,AWC Logo Cap,5.2297,8.6442,5.1865,Multi,4,3,NULL,NA,NULL,0,S ,NULL,U ,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,00:00.0,00:00.0,NULL
225,CA-1098,19,NULL,NULL,AWC Logo Cap,6.9223,8.99,5.394,Multi,4,3,NULL,NA,NULL,0,S ,NULL,U ,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,00:00.0,NULL,Current
226,LJ-0192-S,21,NULL,NULL,"Long-Sleeve Logo Jersey, S",31.7244,48.0673,28.8404,Multi,4,3,S,S,NULL,0,S ,NULL,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,00:00.0,00:00.0,NULL
227,LJ-0192-S,21,NULL,NULL,"Long-Sleeve Logo Jersey, S",29.0807,48.0673,28.8404,Multi,4,3,S,S,NULL,0,S ,NULL,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,00:00.0,00:00.0,NULL
228,LJ-0192-S,21,NULL,NULL,"Long-Sleeve Logo Jersey, S",38.4923,49.99,29.994,Multi,4,3,S,S,NULL,0,S ,NULL,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,00:00.0,NULL,Current
229,LJ-0192-M,21,NULL,NULL,"Long-Sleeve Logo Jersey, M",31.7244,48.0673,28.8404,Multi,4,3,M,M,NULL,0,S ,NULL,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,00:00.0,00:00.0,NULL
230,LJ-0192-M,21,NULL,NULL,"Long-Sleeve Logo Jersey, M",29.0807,48.0673,28.8404,Multi,4,3,M,M,NULL,0,S ,NULL,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,00:00.0,00:00.0,NULL
231,LJ-0192-M,21,NULL,NULL,"Long-Sleeve Logo Jersey, M",38.4923,49.99,29.994,Multi,4,3,M,M,NULL,0,S ,NULL,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,00:00.0,NULL,Current
232,LJ-0192-L,21,NULL,NULL,"Long-Sleeve Logo Jersey, L",31.7244,48.0673,28.8404,Multi,4,3,L,L,NULL,0,S ,NULL,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,00:00.0,00:00.0,NULL
233,LJ-0192-L,21,NULL,NULL,"Long-Sleeve Logo Jersey, L",29.0807,48.0673,28.8404,Multi,4,3,L,L,NULL,0,S ,NULL,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,00:00.0,00:00.0,NULL
234,LJ-0192-L,21,NULL,NULL,"Long-Sleeve Logo Jersey, L",38.4923,49.99,29.994,Multi,4,3,L,L,NULL,0,S ,NULL,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,00:00.0,NULL,Current
235,LJ-0192-X,21,NULL,NULL,"Long-Sleeve Logo Jersey, XL",31.7244,48.0673,28.8404,Multi,4,3,XL,XL,NULL,0,S ,NULL,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,00:00.0,00:00.0,NULL
236,LJ-0192-X,21,NULL,NULL,"Long-Sleeve Logo Jersey, XL",29.0807,48.0673,28.8404,Multi,4,3,XL,XL,NULL,0,S ,NULL,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,00:00.0,00:00.0,NULL
237,LJ-0192-X,21,NULL,NULL,"Long-Sleeve Logo Jersey, XL",38.4923,49.99,29.994,Multi,4,3,XL,XL,NULL,0,S ,NULL,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,00:00.0,NULL,Current
